(default),(per defecte)
icelandic,islandès
icon,icona
icons,icones
id,id
identifier,identificador
identity,identitat
ignore,ignora
ignore all,ignora-ho tot
image,imatge
image file,fitxer d'imatge
image map,mapa d'imatge
images,imatges
import,importa
in,a
inch,polzada
incorrect password,contrasenya incorrecta
increase indent,augmenta el sagnat
indent,sagnat
index,índex
indexes,índexs
indonesian,indonesi
info,informació
information,informació
initials,inicials
input,entrada
insert,insereix
install,instal·la
installing,s'està instal·lant
integer,enter
interaction,interacció
interface,interfície
internet,internet
invert,inverteix
invite,convida
ip address,adreça ip
irish,irlandès
italian,italià
italic,cursiva
january,gener
japanese,japonès
job title,càrrec
join,uneix-m'hi
july,juliol
june,juny
justify,justifica
kannada,kanarès
kazakh,kazakh
kb,kb
key,clau
keyboard,teclat
keyboard shortcuts,dreceres de teclat
keywords,paraules clau
khmer,khmer
korean,coreà
kurdish,kurd
label,etiqueta
landscape,horitzontal
language,llengua
languages,llengües
lao,laosià
large,gran
larger,més gran
last modified,darrera modificació
last name,cognoms
latvian,letó
layer,capa
layout,format
learn more,més informació
left,esquerra
left arrow,fletxa esquerra
left margin,marge esquerre
legal,legal (85 x 14 polzades)
legend,llegenda
length,longitud
letter,carta
level,nivell
library,biblioteca
license,llicència
lightness,brillantor
limit,límit
line,línia
line spacing,interlineat
line style,estil de la línia
linear,lineal
lines,línies
link,enllaç
list,llista
list box,quadre de llista
lithuanian,lituà
load,carrega
loading,s'està carregant
locale,localització
location,ubicació
lock,bloqueja
locked,blocat
log,registre
log in,entra
log out,surt
logging,registre
login,entrada
logo,logotip
long,llarg
low,baixa
lower,inferior
lowercase,minúscules
macedonian,macedoni
macro,macro
magenta,magenta
mailing list,llista de correu
main,principal
malayalam,malaiàlam
manual,manual
manufacturer,fabricant
marathi,marathi
march,març
margin,marge
mark,marca
master,mestre
match case,distingeix entre majúscules i minúscules
maturity,venciment
maximum,màxim
may,maig
mb,mb
mean,mitjana
meaning,significat
media,suport
medium,mitjana
memory,memòria
menu,menú
menu bar,barra de menú
merge,fusiona
message,missatge
messages,missatges
method,mètode
middle,centre
millimeter,mil·límetre
minimum,mínim
minute,minut
minutes,minuts
misc,miscel·lània
miscellaneous,miscel·lània
mm,mm
mobile,mòbil
mode,mode
model,model
modified,modificat
modify,modifica
module,mòdul
modules,mòduls
monday,dilluns
mongolian,mongol
monitor,monitor
month,mes
more,més
more information,més informació
more options,més opcions
mount point,punt de muntatge
move,mou
move down,mou avall
move up,mou amunt
music,música
mute,silencia
n/a,n/d
name,nom
navigation,navegació
nepali,nepalès
network,xarxa
network name,nom de la xarxa
never,mai
new,nou
new document,document nou
new folder,carpeta nova
new name,nom nou
new password,contrasenya nova
new window,finestra nova
news,notícies
next,següent
next page,pàgina següent
nickname,sobrenom
no,no
none,cap
normal,normal
not available,no disponible
note,nota
notes,notes
november,novembre
number,nombre
numbering,numeració
numbers,números
object,objecte
objects,objectes
occitan,occità
october,octubre
of,de
off,desactivat
offline,fora de línia
offset,desplaçament
ok,d'acord
on,activat
opacity,opacitat
open,obre
open file,obre un fitxer
open recent,obre'n un recent
open with,obre amb
operator,operador
operators,operadors
optimize,optimitza
option,opció
options,opcions
or,o
order,ordre
organization,organització
organizer,organitzador
orientation,orientació
origin,origen
original,original
original size,mida original
oriya,oriya
other,altres
others,altres
outline,esquema
output,sortida
overview,resum
overwrite,sobreescriu
owner,propietari
page,pàgina
page number,número de pàgina
page setup,configuració de la pàgina
page width,amplada de la pàgina
pages,pàgines
palette,paleta
paragraph,paràgraf
parallel,paral·lel
parameter,paràmetre
parameters,paràmetres
password,contrasenya
password required,es requereix una contrasenya
paste,enganxa
path,camí
paths,camins
pattern,patró
pause,pausa
paused,en pausa
pending,pendent
percent,percentatge
period,període
permissions,permisos
persian,persa
personal,personal
perspective,perspectiva
photo,foto
pica,pica
picture,imatge
pixel,píxel
pixels,píxels
placement,emplaçament
plain text,text
play,reprodueix
playback,reproducció
please wait,espereu
plugins,connectors
point,punt
points,punts
polish,polonès
polygon,polígon
port,port
port number,número de port
portrait,vertical
portuguese,portuguès
portuguese (brazil),portuguès (brasil)
position,posició
power,potència
power off,apaga
preferences,preferències
prefix,prefix
presentation,presentació
preview,previsualització
previous,anterior
previous page,pàgina anterior
print,imprimeix
print preview,exemple d'impressió
printer,impressora
printing,s'està imprimint
priority,prioritat
privacy,privadesa
private,privat
processing,s'està processant
product,producte
profile,perfil
profile name,nom del perfil
program,programa
progress,progrés
progress bar,barra de progrés
project,projecte
